,City_Name,Lat,Lon,Max_Temp,Humidity,Clouds,Wind_Speed,Country,Date
198,Springbok,-29.66,17.89,60.78,31,89,3.13,ZA,1602534469
199,Te Anau,-45.42,167.72,45.86,88,52,1.61,NZ,1602534470
200,Evans,33.53,-82.13,80.01,74,90,4.7,US,1602534470
201,Nyurba,63.28,118.33,17.56,91,0,4.47,RU,1602534470
202,Jalu,29.03,21.55,79.81,29,0,9.62,LY,1602534470
203,Oneonta,42.45,-75.06,54.0,66,92,4.0,US,1602534470
204,Benguela,-12.58,13.41,74.19,76,100,5.91,AO,1602534470
205,Mīrābād,30.44,61.84,55.33,38,0,20.2,AF,1602534470
206,Esmeraldas,-19.76,-44.31,75.2,64,40,12.75,BR,1602534471
207,Saldanha,-33.01,17.94,59.0,82,72,6.93,ZA,1602534471
208,Hoi An,15.88,108.33,75.2,100,75,3.36,VN,1602534471
209,Margate,51.38,1.39,52.0,95,100,1.01,GB,1602534471
210,Saint-Philippe,-21.36,55.77,71.6,73,20,2.24,RE,1602534275
211,Westport,41.14,-73.36,55.99,87,100,15.57,US,1602534471
212,Mount Gambier,-37.83,140.77,53.6,87,90,5.82,AU,1602534472
213,Thompson,55.74,-97.86,42.8,70,75,17.22,CA,1602534472
214,Saint-Joseph,-21.37,55.62,71.6,73,20,2.24,RE,1602534472
215,Xai-Xai,-25.05,33.64,62.31,87,5,1.83,MZ,1602534472
216,Praxédis Guerrero,31.37,-106.02,80.6,11,5,13.87,MX,1602534472
217,Kollam,8.88,76.6,80.6,94,40,4.7,IN,1602534363
218,Karratha,-20.74,116.85,76.06,40,0,10.02,AU,1602534472
219,Pamanukan,-6.28,107.81,80.49,72,100,4.18,ID,1602534473
220,Goma,-1.68,29.22,64.26,77,99,4.47,CD,1602534473
221,Waconia,44.85,-93.79,64.99,39,0,3.0,US,1602534473
222,Sitka,57.05,-135.33,50.0,66,90,8.05,US,1602534473
223,Douentza,15.0,-2.95,92.23,23,100,0.63,ML,1602534473
224,Porto-Novo,6.5,2.6,80.6,88,40,13.87,BJ,1602534473
225,Conde,-7.26,-34.91,80.6,69,20,11.41,BR,1602534474
226,Kismayo,-0.36,42.55,78.26,81,0,11.99,SO,1602534474
227,Suntar,62.14,117.63,18.55,91,0,5.01,RU,1602534474
228,San Vicente,-26.62,-54.13,87.6,20,0,4.56,AR,1602534474
229,Nizhnyaya Omka,55.43,74.94,45.34,90,84,8.01,RU,1602534474
230,Mersing,2.43,103.84,77.0,94,100,3.36,MY,1602534474
231,Buala,-8.14,159.59,82.31,80,97,8.19,SB,1602534474
232,Samarai,-10.62,150.67,79.29,90,96,8.5,PG,1602534475
233,Bandarbeyla,9.49,50.81,78.8,83,18,6.76,SO,1602534475
234,Ginda,30.69,78.49,59.72,52,0,5.37,IN,1602534475
235,Mar del Plata,-38.0,-57.56,60.8,72,20,10.29,AR,1602534475
236,Souillac,-20.52,57.52,71.6,88,20,5.82,MU,1602534475
